sym,strat,score,entry,entry_date,sl,tg,qty,val,days,regime,tier,exit,exit_date,reason,costs,pnl
WIPRO,MOM,13.0,305.61,2021-09-09,292.23,325.67,163,49814.07444446284,12,2,NIFTY50,301.77,2021-09-27,TIME,145.65,-772.09
APOLLOHOSP,MOM,14.0,4695.06,2021-09-27,4367.99,5185.66,10,46950.606510466394,2,2,NIFTY50,4363.62,2021-09-28,SL,133.47,-3447.85
GRAVITA,MOM,13.0,195.72,2021-09-20,174.87,227.0,255,49908.884946194215,12,2,SMALLCAP,200.54,2021-10-05,TIME,148.51,1080.46
BSE,MOM,14.0,133.45,2021-09-29,123.05,149.04,374,49910.05369716883,9,2,MIDCAP,148.74,2021-10-11,TARGET,154.79,5564.39
WIPRO,MOM,13.0,302.37,2021-09-28,288.63,322.98,165,49891.20733633174,12,2,NIFTY50,310.4,2021-10-13,TIME,148.6,1175.78
VEDL,MOM,13.0,155.35,2021-10-06,145.46,170.2,321,49868.39630438034,7,2,MIDCAP,169.86,2021-10-14,TARGET,153.18,4504.4
SBIN,MOM,13.0,430.36,2021-10-12,408.23,463.56,116,49921.88691809613,6,2,NIFTY50,463.1,2021-10-20,TARGET,152.14,3645.29
ADANIENT,MOM,13.0,1578.76,2021-10-14,1472.08,1738.78,31,48941.64908823592,10,2,NIFTY50,1470.61,2021-10-28,SL,139.28,-3491.99
GRASIM,MOM,13.0,1723.42,2021-10-18,1628.48,1865.82,29,49979.06374915335,12,2,NIFTY50,1702.45,2021-11-02,TIME,146.16,-754.27
GRAVITA,MOM,14.0,202.84,2021-10-21,183.25,232.21,246,49897.985468475985,12,2,SMALLCAP,221.86,2021-11-08,TIME,153.31,4526.64
SBIN,MOM,14.0,459.2,2021-10-29,433.35,497.99,108,49594.085745769815,12,2,NIFTY50,452.44,2021-11-16,TIME,144.86,-875.1
VEDL,MOM,13.0,164.83,2021-11-09,149.69,187.53,303,49942.46599324021,8,2,MIDCAP,149.39,2021-11-18,SL,140.38,-4818.51
HFCL,MOM,13.0,75.36,2021-11-03,67.88,86.59,663,49965.91538655518,12,2,MIDCAP,69.72,2021-11-22,TIME,141.74,-3884.34
BEL,MOM,12.0,65.97,2021-11-22,61.16,73.18,757,49940.09642449581,6,1,NIFTY50,61.1,2021-11-29,SL,141.74,-3829.21
ADANIENT,MOM,13.0,1712.66,2021-11-17,1584.66,1904.65,29,49667.07693201317,12,2,NIFTY50,1703.35,2021-12-03,TIME,145.71,-415.63
BHARTIARTL,MOM,12.0,728.86,2021-11-23,689.18,788.39,68,49562.56918740165,10,1,NIFTY50,688.49,2021-12-06,SL,141.95,-2887.05
VEDL,MOM,12.0,177.19,2021-11-30,158.98,204.5,282,49966.29248827875,12,1,MIDCAP,179.53,2021-12-15,TIME,147.9,512.0
GRAVITA,MOM,12.0,233.61,2021-12-16,211.57,266.67,214,49992.31853100192,3,1,SMALLCAP,210.72,2021-12-20,SL,140.21,-5037.87
POWERINDIA,MOM,12.0,2668.14,2021-12-06,2365.55,3122.01,18,48026.43467777177,12,1,MIDCAP,2404.12,2021-12-21,TIME,134.64,-4886.95
ADANIENT,MOM,11.0,1657.6,2021-12-07,1524.26,1857.61,30,49728.031404359106,12,1,NIFTY50,1653.49,2021-12-22,TIME,146.1,-269.36
TECHM,MOM,11.0,1398.88,2021-12-21,1316.95,1521.77,35,48960.73953812444,5,1,NIFTY50,1520.25,2021-12-27,TARGET,149.94,4097.95
VEDL,MOM,11.0,180.45,2021-12-22,166.09,202.0,277,49984.74198748673,12,1,MIDCAP,178.88,2022-01-06,TIME,146.42,-580.16
ADANIENT,MOM,10.0,1673.39,2021-12-23,1556.69,1848.43,29,48528.27004283478,12,1,NIFTY50,1694.38,2022-01-07,TIME,143.59,465.04
TECHM,MOM,12.0,1555.28,2021-12-28,1469.76,1683.55,32,49768.87816950085,10,1,NIFTY50,1468.29,2022-01-10,SL,142.51,-2926.18
ADANIENT,MOM,12.0,1706.21,2022-01-10,1613.17,1845.78,29,49480.17977094086,2,2,NIFTY50,1843.93,2022-01-11,TARGET,151.11,3842.89
WIPRO,MOM,12.0,321.38,2022-01-11,307.28,342.52,155,49813.28369598061,3,2,NIFTY50,306.06,2022-01-13,SL_GAP,143.21,-2518.02
VEDL,MOM,13.0,180.4,2022-01-07,167.45,199.82,277,49970.04659388477,12,2,MIDCAP,167.12,2022-01-24,SL,141.85,-3821.77
LT,MOM,12.0,1882.25,2022-01-12,1809.96,1990.68,26,48938.445350932176,9,2,NIFTY50,1808.15,2022-01-24,SL,141.25,-2067.85
ADANIENT,MOM,13.0,1848.55,2022-01-14,1741.43,2009.23,27,49910.893097804146,7,2,NIFTY50,1739.69,2022-01-24,SL,142.71,-3081.97
POWERINDIA,MOM,12.0,2869.18,2022-01-25,2594.0,3281.95,17,48776.02811898498,2,1,MIDCAP,3275.39,2022-01-27,TARGET,153.11,6752.39
BSE,MOM,13.0,205.76,2022-01-25,185.75,235.76,243,49998.83976146004,8,1,MIDCAP,235.65,2022-02-04,TARGET_GAP,157.21,7105.81
HINDALCO,MOM,12.0,462.58,2022-01-25,434.84,504.17,108,49958.15814829102,8,1,NIFTY50,503.67,2022-02-04,TARGET,153.14,4284.13
POWERGRID,MOM,13.0,132.94,2022-01-28,126.14,143.14,376,49986.17518733563,12,1,NIFTY50,126.01,2022-02-14,SL,143.39,-2747.62
SBIN,MOM,14.0,487.04,2022-02-07,459.86,527.82,102,49678.14202686161,6,2,NIFTY50,459.4,2022-02-14,SL,142.19,-2961.46
HINDALCO,MOM,13.0,513.45,2022-02-07,485.61,555.2,97,49804.51843846893,12,2,NIFTY50,501.11,2022-02-22,TIME,144.82,-1341.48
BSE,MOM,12.0,230.64,2022-02-15,206.83,266.36,216,49817.96682775269,8,1,MIDCAP,206.42,2022-02-24,SL,139.23,-5371.54
SBIN,MOM,11.0,459.66,2022-02-15,430.75,503.03,108,49643.528830339594,8,1,NIFTY50,430.32,2022-02-24,SL,141.59,-3310.39
HINDALCO,MOM,12.0,505.62,2022-02-23,475.85,550.27,98,49550.59244455707,4,1,NIFTY50,549.72,2022-02-28,TARGET,151.78,4169.99
COALINDIA,MOM,11.0,126.44,2022-03-02,117.95,139.17,395,49942.713702765555,2,0,NIFTY50,139.91,2022-03-03,TARGET_GAP,154.33,5166.31
BSE,MOM,11.0,287.74,2022-03-14,258.67,331.34,173,49779.04976119089,2,0,MIDCAP,330.68,2022-03-15,TARGET,156.78,7271.38
VEDL,MOM,11.0,203.8,2022-03-02,188.02,227.48,245,49931.663763771714,12,0,MIDCAP,207.12,2022-03-17,TIME,148.0,664.37
POWERINDIA,MOM,11.0,3484.0,2022-03-07,3029.53,4165.72,14,48776.025154246825,12,0,MIDCAP,3357.08,2022-03-23,TIME,140.99,-1917.88
TITAN,MOM,13.0,2661.76,2022-03-24,2509.75,2889.78,18,47911.737029304706,2,2,NIFTY50,2507.24,2022-03-25,SL,137.05,-2918.41
SUNPHARMA,MOM,12.0,866.52,2022-03-16,820.71,935.23,57,49391.65613652133,12,0,NIFTY50,873.15,2022-04-01,TIME,145.81,232.01
HAL,MOM,13.0,693.71,2022-03-21,642.94,769.86,72,49946.86424680521,12,2,MIDCAP,735.84,2022-04-05,TIME,151.15,2882.11
TITAN,MOM,12.0,2506.15,2022-03-28,2348.06,2743.28,19,47616.80680038867,12,1,NIFTY50,2453.51,2022-04-12,TIME,138.66,-1138.75
HINDALCO,MOM,13.0,556.39,2022-04-04,515.74,617.38,89,49519.081673231376,12,2,NIFTY50,524.46,2022-04-21,TIME,141.69,-2983.43
