sym,strat,score,entry,entry_date,sl,tg,qty,val,days,regime,tier,exit,exit_date,reason,costs,pnl
BEL,MOM,11.0,80.89,2022-07-19,76.13,88.05,618,49992.95287417464,8,1,NIFTY50,87.96,2022-07-28,TARGET,153.14,4217.33
EICHERMOT,MOM,11.0,2960.59,2022-07-29,2807.44,3190.33,16,47369.51548618722,3,1,NIFTY50,2804.63,2022-08-02,SL,135.85,-2631.17
ICICIBANK,MOM,11.0,778.35,2022-07-26,748.98,822.4,64,49814.09105730732,11,1,NIFTY50,821.58,2022-08-10,TARGET,150.39,2616.18
COALINDIA,MOM,11.0,148.95,2022-07-26,141.24,160.53,335,49898.89381554114,11,1,NIFTY50,160.37,2022-08-10,TARGET,152.11,3673.41
ITC,MOM,12.0,257.05,2022-08-03,248.69,269.59,194,49867.35574516764,12,1,NIFTY50,259.42,2022-08-22,TIME,147.32,312.98
ICICIBANK,MOM,12.0,840.11,2022-08-11,811.31,883.31,59,49566.547103929006,12,1,NIFTY50,834.34,2022-08-29,TIME,145.33,-485.88
HAL,MOM,12.0,1037.75,2022-08-11,978.42,1126.74,48,49812.12027760684,12,1,MIDCAP,1089.54,2022-08-29,TIME,149.98,2336.11
ADANIENT,MOM,12.0,3031.52,2022-08-23,2861.66,3286.32,16,48504.38474907243,8,1,NIFTY50,3283.03,2022-09-02,TARGET,148.28,3875.94
EICHERMOT,MOM,13.0,3211.14,2022-08-30,3019.85,3498.09,15,48167.148122067825,12,1,NIFTY50,3494.59,2022-09-15,TARGET,147.61,4104.17
POWERINDIA,MOM,12.0,3680.08,2022-08-30,3377.86,4133.41,13,47840.997259608186,12,1,MIDCAP,3495.42,2022-09-15,TIME,137.37,-2537.97
ADANIENT,MOM,12.0,3372.85,2022-09-05,3169.76,3677.47,14,47219.863065119134,9,1,NIFTY50,3673.79,2022-09-15,TARGET,144.78,4068.42
MARUTI,MOM,13.0,8950.44,2022-09-16,8571.6,9518.7,5,44752.18548512109,7,1,NIFTY50,8563.03,2022-09-26,SL,128.93,-2065.99
SBIN,MOM,12.0,529.24,2022-09-16,507.96,561.15,94,49748.14748066813,7,1,NIFTY50,506.55,2022-09-26,SL_GAP,143.36,-2275.88
GRAVITA,MOM,12.0,324.82,2022-09-16,300.29,361.61,153,49697.1701098451,7,1,SMALLCAP,299.09,2022-09-26,SL,140.69,-4077.56
ITC,MOM,13.0,286.9,2022-10-20,275.81,303.52,174,49919.778199287226,12,2,NIFTY50,291.69,2022-11-07,TIME,148.0,684.67
GRAVITA,MOM,12.0,351.19,2022-10-20,322.73,393.86,142,49868.343415618234,12,2,SMALLCAP,359.53,2022-11-07,TIME,148.34,1035.57
