sym,strat,entry,entry_date,exit,exit_date,qty,reason,days,regime,costs,pnl
VEDL,MOM,451.82,2025-09-23,481.33,2025-10-24,55,TARGET_HALF,22,2,75.36,1547.44
BEL,MOM,420.63,2025-10-24,405.16,2025-10-29,118,SL,4,2,143.45,-1968.39
BEL,MOM,406.48,2025-10-30,428.52,2025-11-03,61,TARGET_HALF,3,2,74.81,1269.69
BEL,MOM,406.48,2025-10-30,406.07,2025-11-06,62,SL,5,2,74.09,-99.29
BHARTIARTL,MOM,2050.05,2025-11-07,2157.11,2025-11-19,12,TARGET_HALF,9,2,74.16,1210.57
BHARTIARTL,MOM,2050.05,2025-11-07,2061.36,2025-12-10,12,SL,24,2,72.55,63.13
BPCL,MOM,345.75,2025-12-11,367.99,2025-12-31,72,TARGET_HALF,14,2,75.46,1525.94
BPCL,MOM,345.75,2025-12-11,346.42,2026-01-08,72,SL,20,2,73.29,-25.13
EICHERMOT,MOM,5995.99,2025-08-21,7188.67,2026-01-20,4,SL,103,1,77.2,4693.51
VEDL,MOM,451.82,2025-09-23,678.09,2026-01-30,55,SL,88,2,90.46,12354.22
BPCL,MOM,386.39,2026-02-10,366.33,2026-02-17,129,SL,6,2,143.0,-2730.31
TATASTEEL,MOM,199.09,2026-02-10,191.99,2026-03-04,251,SL,16,2,144.5,-1927.03
EICHERMOT,MOM,8044.04,2026-02-19,7673.72,2026-03-04,6,SL,9,2,138.86,-2360.79
SBIN,MOM,1131.75,2026-02-10,1132.09,2026-03-05,44,SL,17,2,146.49,-131.45
DATAPATTNS,MOM,3550.14,2026-04-22,4034.05,2026-04-23,7,TARGET_HALF,2,1,77.82,3309.54
VEDL,MOM,771.24,2026-04-22,721.29,2026-04-24,64,SL,3,1,140.73,-3337.24
NETWEB,MOM,3919.62,2026-04-22,4392.37,2026-05-06,6,TARGET_HALF,10,1,73.13,2763.37
NETWEB,MOM,3919.62,2026-04-22,3903.94,2026-05-13,6,SL,15,1,69.04,-163.11
HINDZINC,MOM,603.81,2026-04-30,664.09,2026-05-13,41,TARGET_HALF,9,1,76.27,2395.18
DATAPATTNS,MOM,3550.14,2026-04-22,3601.5,2026-05-15,7,SL,17,1,73.6,285.95
BSE,MOM,4258.5,2026-05-25,4038.04,2026-06-01,11,SL,5,1,134.41,-2559.52
HINDZINC,MOM,603.81,2026-04-30,617.16,2026-06-02,41,SL,22,1,73.59,473.59
POWERINDIA,MOM,36072.0,2026-05-25,34071.92,2026-06-09,1,SL,11,1,103.31,-2103.39
BSE,MOM,4156.8,2026-06-16,3868.88,2026-06-24,12,SL,7,1,141.9,-3596.98
EICHERMOT,MOM,7627.62,2026-06-25,7293.0,2026-06-30,6,SL,3,1,131.81,-2139.53
INDUSINDBK,MOM,932.42,2026-06-16,942.56,2026-07-02,53,TIME_DEAD,12,1,146.11,391.12
